user,produk,review
,,Tulisan di kemasannya white honey semoga memang benar kandungan royal jelly krn harga lmyn mahal jg
seagate,,Sambel ati nya kebuka dikit
N***a,,So far beli bumbu putih syukurnya blm pernah kedapetan yg bocor sama sekali semoga kedepannya tetap begitu ðŸ™ðŸ¼ Paling
Yanita,,Paketnya salah saya pesen yg sekar jagad dikasihnya yg sapu jagad. Botolnya diwrap kenceng jd aman walau kardusnya penyok2. Next dicek ulang lg
victoria,,tutup botol tidak diseal dengan baik jadi bocor.. padahal sudah diminta tlg untuk memperhatikan packingan supaya aman.
Nita,,udah repeat means gw cocok ya ama produk dia. cuma kali ini pengiriman nya LAMBRETAAAAAA... dikit lg jamuran di jalan dia.
Nita,,Waktu dateng agak kaget Karena bener2 4 botol kecil di bubble satu2 gt kirain ada packaging nya agak manis gt. tapi ya gpp juga sih masih oke
D***a,,udah minta diseal isolasi tutupnya ngga diseal jadi tumpah saat diterima. karena posisi botol tidur di kardus tidak berdiri. Keluhan pembeli rata2 sama ya tapi tidak dip...
K***a,,Bumbunya mantap tp sayang seal nya ga rapet jd pas nyampe botolnya berminyak..
S***i,,Ok tp tutup kurang rapet jadi sedikit bocor
P***h,,enak utk buat nasi goreng
Ita,,ada yg bocor 1 diterima dlm keadaan tinggal seginiðŸ˜­.
Marscella,,Bagus siy cuman rasanya anak saya kurang suka..
Zima,,Rasanya sangat enak sayang agak bocor ke bubblewrap mungkin packing botolnya perlu di improve
Edah,,semoga oang tuaku sehat
I***a,,imun booster yang wajib ada dirumah. alhamdulillah setiap merasa ngga enak badan lalu konsumsi sapujagad tiba-tiba ngantuk berat dan begitu bangun badan jadi lebih segar
M***e,,Saya merasa kualitas jamu sapujagad yg lalu lebih baik dari yg skrg. Bawang putih tunggalnya jadi kurang berasa.
T***n,,Packagingnya rapih baru mau coba dikasih 4 bintang dl ya nnti kalau cocok bakal repurchase dan ksh bintang 5
N***a,,Beli Rasana bumbu putih dan kuning enak aman. Tapi yang merah serpertinya sudah terfementasi rasanya asam. Bagaimana ini ya rasana?
Nikita,,Bumbunya agak bocor ðŸ˜ŒðŸ˜Œ
M***s,,Meskipun packaging aman (bubble wrap tebal) dan botol tidak pecah namun botol sedikit basah saat dibuka. Tidak tahu bocor atau hanya air saja.
Rani,,Mantap
W***s,,Dari segi rasa cukup oke.. tapi khadit belum terlihat. Jadi cukup 4 bintang dulu ya rating nya.
Yana,,Prosesnya lama
E***a,,Ada beberapa jenis sambal goreng mungkin bisa ditampilkan kalo ini biasanya digunakan untuk resep sambal goreng telur puyuh ati sehingga jelas peruntukannya
Anamta,,Barang sampai lumayan lama. Tapi sampai nggak bocor seperti botol yang satunya.
d***h,,Pas sampai air dr bumbunya agak rembes tp botol gak pecah munkin di ekspedisinya. Over all bumbunya enak praktis.
Mulyadi,,Saya baru coba hari ini'untuk.khasiat blm terasa lah..klo.untuk rasa lumayan enak..perpaduan asam'pedas...jika khasiatnya bagus sy akan pesan lagi..terima kasih
D***a,,Mudah2an bodi jd lbh fit.. sy sdh baca semua keterangan.. cuma di saya ga nyangka rasa bwg putihnya kentara bgt :)) aplg sy bukan kaum pecinta bwg.. bismillah demi sehat...
anita,,Rasanya enak anak2 suka
E***A,,Bagus pelayanannya. Dichat tidak kelamaan balasnya. Barangnya PO tapi cepat sampai nya pesan dari tgl 22 tgl 27 sudah sampai rumah. Minta bubble wrap nya tebel Puji Tu...
Ucup,,Hasiat belum terasa mungkin harus lebih dari sebotol
Aldo,,Barang sudah diterima packing baik deskripsi sesuai
V***i,,Rasanya enak
M***i,,Belum di coba ya
Danang,,bintang nya 4 dlu karena blm di coba semoga cocok dan ada pengaruh nya aamiin
L***a,"[Bebas Pilih Bundling] Ayam Frozen Food dan Rasana Spesial Ramadan""",Bumbu bacem enak. Ayam lengkuas potongannya besar jadi cukup kenyang sayang bumbunya agak kurang meresap. Sambal kecombrangnya enak. Dapat free tempe orek sama sada jiw...
N***y,,Belum minum rutin tapi aku suka rasanya gak terlalu jamu
Singgih,,pengiriman lama.
L***i,,Rasanya enak tidak pahit ada rasa asam dan sedikit manis. Mungkin manfaatnya baru terasa kalau konsumsinya rutin. Akan lebih baik kalau tanggal kadaluwarsanya dicantumk...
Noor,,blm di coba saya kasih bint 4 dlu
A***i,"Sukhaloka by Rahsa Nusantara | Plant-Based Collagen Booster 60-Capsule""",Baru mau coba smg cocok ya
F***Y,,mestinya sekelas Rahsa Nusantara pesen boks khusus supaya posisi botol berdiri. sekarang botol posisinya digeletakin tertidur dan isinya merembes ke bubble wrap
Muhammad,,Yg utk sakit maag nya enak dan cepat meredakan maag setelah minum cuma 2-3 hari. Tp untuk yg satu lg (botol yg label hitam) sehari2nya kurang bisa diminum. Tp terima kasi...
Tonny,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",ok
Ainun,"[PAKET HEMAT REGAS] by Rahsa Nusantara - Herbal Alami Flu Batuk Pilek""",benar2 membuat dahak anak saya keluar  jd anak saya bs lega  batuk lumayan berkurang
S***a,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",Udah sampe cepet banget 1 hr sampe begitu diminum enak banget  tenggorokan jd ga sakit lg.
Awandi,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",enak banget. segar dan menyehatkan.
A***P,"Beli 1 Paket Gratis 3 Produk By Rahsa Nusantara | Paket Hemat""",Sip
A***P,"Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat""",Semoga Cocok
N***a,"Mini Size Jagad Series by Rahsa Nusantara - Starter Pack""",bagus banget dikemas satu2
Imran,"Beli 1 Paket Gratis 3 Produk By Rahsa Nusantara | Paket Hemat""",mantappp
Y***l,"Bundling 2 Sukhaloka by Rahsa Nusantara""",Baru minum 3 hari tiba2 kulit bersisik di blakang telinga yang udah lama ada tiba tiba hilang. Bakal aku terusin sih  klo kulit di bagian lainnya belum terlalu ada peruba...
Andra,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",sendoknya lucu
Lussia,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",sesuai pesanan. dtg tepat waktu. kualitas dbestttt.... thanks seller
Septaray,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",semoga cocok
Yufrianto,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",mantap
Joni,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",super thanks
a***a,"Mini Size Jagad Series by Rahsa Nusantara - Starter Pack""",Ternyata enak rasanya  kalau ngaruh nanti beli yang fullsize  good packaging!
Witania,,RASANYA ENAK  SEGAR.
Witania,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",kondisi barang baik  tidak ada yg pecah.
Alex,"Sari Serai Telang by Rahsa Nusantara - Jamu Sirup Herbal Tradisional""",okay good
Mira,"Mini Size Sapujagad Anak by Rahsa Nusantara""",langganan.. anak2 suka.. khasiatnya tak perlu di ragukan
R***i,"Sukhaloka by Rahsa Nusantara | Plant-Based Collagen Booster 60-Capsule""",Proses cepat  diterima dalam kondisi baik. Terima kasih kakaaaaa ðŸ˜ƒðŸ‘ðŸ½ðŸ‘ðŸ½
Restu,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",Maa Syaa Allah Tabarakallah jamu Ter enak yang pernah aku minum. makasih ya.. semoga tambah berkah tambah jaya..
R***a,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",anakku batuk pilek  aku nyobain beli ini semoga sembuh sakitnya. rasanya enak  anakku suka
Futsia,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",cocok untuk anak. anak suka rasanya. recommended. thanks. pengiriman juga aman
E***y,,"Produk diterima dalam keadaan baik  packingnya aman dan ramah lingkungan. Rasanya enak  tidak terlalu """"jamu"""" dan tidak pedas jadi anak2 bisa minum ini tanpa drama..."
Vita,,Jahe nya berasa bgt
I***e,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",baru sekali minum sdh kerasa mensnya lgsg banyak tx ya.  cuma klo yg punya lambung kyknya harus makan dulu biar ga perih ke perut..
Muhammad,"Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat""",pembelian kedua.. semoga hasilnya baik terlihat...
R***i,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",Enak banget rasa asli seperti di mbok jamu
Ridwan,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",kunyitnya enak  pedes jahenya dapet  seger dan menyehatkan trims.
R***a,"Mini Size Sapujagad Anak by Rahsa Nusantara""",Rasanya enak banget  tenggorokan lgs anget. Emaknya dulu tes  hari ini mau coba kasih ke anak  semoga suka dan cocok ðŸ™ðŸ»
Fitriana,"Mini Size Jagad Series by Rahsa Nusantara - Starter Pack""",Agak degÂ² ser nyobanya (wanginya itu loo  bawang banget meen)  tapi demi kesehatan akan kulawan rasa mblenek inih. Hiyaah  glek...glek...
c***y,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",selalu bagus  Insyaa Allah bermanfaat.. sudah langganan
fitri,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",Pengiriman cepat  produk aman
Hesti,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",Rasa kunyit mantap
Jessica,"PAKET HEALTHY KIDS 200K By Rahsa Nusantara""",Sudah langganan sejak dulu. Puas dengan produknya.
a***a,"[Bebas Pilih Bundling] Sapujagad anak REGAS by Rahsa Nusantara""",pengiriman cepat  packing aman. kualitas oke...trs selalu dapet bonus ya ampun baik bgt ga ngerti lagi dehhh...sukses terus Rahsaâ¤ï¸
K***K,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",anak2 cocok banget sama ini tuh. love banget pokoknya ðŸ¥°
"Lancar Haid""",Paket Healthy Women 200K By Rahsa Nusantara |Sehat Glowing,gracia kunyit asam-nya enak banget. laras jagad diminum tiap pagi bikin badan segar. dapet bonus jahe merah dan kunyit asam kecil2 lagi.. seneng bangeeett.. makasih jeng/mas â¤ï¸
gracia,"[PAKET HEMAT CERLANG] By Rahsa Nusantara | Kesehatan Mata Anak""",kesukaan anakku.. perlu banget ini buat anak2 jaman sekarang yang screen time sepanjang hari.
Herna,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",Order tiap bulan. Khasiat sgt ok. Shipping cepat. Seller responsive
Dhita,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",pembelian yang kedua kali. sudah coba obat flu macem-macem tapi kambuh lagi  akhirnya coba ini dan berhasil sembuh.. kali ini beli untuk jaga2  jadi salah satu P3K di rum...
Dhita,"Mini Size Sapujagad Anak by Rahsa Nusantara""",pembelian kedua kali. anak-anak suka dengan rasanya dan ampuh untuk mereka. terima kasih rahsa â¤ï¸
Nur,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",Sudah langganan. Alhamdulillah cocok buat anak saya. Dari bahan alami   jadi aman insyaAllah ðŸ˜Š
Sovan,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",Rasanya enak  anak-anak suka dan berkhasiat
Wintria,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",Kesayangan dari tahun 2019â¤ï¸
Wintria,"Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat""",Kesayangan dari tahun 2019â¤ï¸
Riki,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",manteb
Ashley,"Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat""",ternyata rasanya enak kaya ubi gitu ga langu wortel. anakku suka thanks
D***k,"[PAKET HEMAT REGAS] by Rahsa Nusantara - Herbal Alami Flu Batuk Pilek""",Mantap sudah sampai
S***o,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",terimakasih..barang sudah sampai sesuai harapan..semoga cocok untuk anak dan lekas sembuh serta sehat... Aamiin..terimakasih untuk fast respon nya Ka' Seller ðŸ™
s***n,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",sdh 2x beli produk ini krn cocok  anak sy usia 3 thn saat flu minum ini 2-3x sembuh gk tambah obat2. Memang expired date nya gk bisa lama jg  krn herbal. Beli di official...
Inge,"Sukhaloka by Rahsa Nusantara | Plant-Based Collagen Booster 60-Capsule""",terimakasih! selaku cocok dengan Sukhaloka. kali ini dapat gift Sapu Jagat pula. thanks banget.
Fransisca,"Sukhaloka by Rahsa Nusantara | Plant-Based Collagen Booster 60-Capsule""",bagus pengiriman cepat
Febri,,pembelian kedua   packaging super rapih
a***a,"[Bebas Pilih Bundling] Sapujagad anak REGAS by Rahsa Nusantara""",packing aman  kualitas selalu oke gausah diragukan lagi. dikasih bonus. Ya Ampun ...makasih ya Rahsa...selalu loovee...
a***a,"[Bebas Pilih Bundling] Sekarjagad by Rahsa Nusantara - Healthy Glow""",packing aman  kualitas selalu oke gausah diragukan lagi. dikasih bonus. Ya Ampun ...makasih ya Rahsa...selalu loovee...
Tika,,cocok botol kesekian..
Muhammad,"Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat""",alhamdulillah anak saya suka  semoga cocok bisa mengurangi mata minusnya.. barang cepat sampai  packing rapih.. Terima kasih
Fikana,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",Anak anak suka dan cocok ini botol yg ke dua ðŸ«°ðŸ»
Rahmawati,,Aromanya enak bgtt  bikin wangi kalau masak.
Tika,"[Bebas Pilih Bundling] Sapujagad Dewasa by Rahsa Nusantara - Herbal""",bundling sapujagad dan sari lemon. duo must have items..
D***s,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",ok selalu konsisten
BunNana,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",batuk alergi anakÂ² saya cocok dgn ini. Biidznillah.. ini pembelian kedua.
N***a,"Sapujagad Anak Cerlang by Rahsa Nusantara| Vitamin Herbal Mata Sehat""",alhamdulillah nyampe langsung coba dan anaku bilang dia suka.. seger katanya
R***a,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",ok.
Januar,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",blm dicoba  tp semoga bagus khasiatnya..
Mona,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",sdh konsumsi selama 6 hari berturut2  kok batpil si kecil blm ada progres jg ya
N***i,"[Bebas Pilih Bundling] Sapujagad Dewasa by Rahsa Nusantara - Herbal""",Semoga cocok  direkomendasi teman untuk menjaga imun tubuh.. rasanya sesuai ingredients tertulis  masih bisa diterima untuk diminum :) diminum pagi2 best!
Risa,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",sehari sampai packing aman  sendoknya bagus tebel. semoga berkhasiat utk anak2 yg sedang batuk
Andra,,ternyata sy kepencet 2 paketðŸ˜… ya sdh gpp buat persediaan. cm expirednya cukup deket ya. gak bs lama disimpan. smg cocok
Syarifa,,the best lah pokoknya. pernah coba merk lain. ga se fresh milik rahsa nusantara â¤
Vita,,Alhamdulillah cocok utk saya dan ibu saya. Pembelian kedua sekaligus beli 2. Terimakasih dapat bonus.
Inndy,,semoga 3 bumbu ini bakalan ada terus sungguh membantu perhelatan di dapur jd sat set dan dijamin rasanya enak  light  rasanya seneng krna tau komposisinya yg sehat tidak...
h***s,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",cocok bgt d anakanakku  2x minum batuknya reup mashaAllah. jazakallah ya
Jessica,,TOP seller. de best
Natalia,,sudah 6x beli ini sesuai anjuran Ibu Debby Jean Marie  hasilnya ga langsung tp perlahan membaik buat perkembangan otak anak2 dibarengi dgn konsumsi minyak ikan. terimakas...
Pras,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",enak  tidak terlalu Manis.. kalau kurang Manis tinggal ditambahkan gula  praktis juga kalau perlu obat anti infeksi dan inflamasi ringan bisa minum ini.. ðŸ˜ðŸ˜
Kartika,,Rasanya enak walau tanpa dicampur air  untuk khasiat baru pertama coba
Yanti,,segarrr saya campur dengan madu + air dingin....maknyosss
Hesti,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",Selalu belanja di sini. Kualitas sari kunyit paling ok.
yenni,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",sangat ampuh mantap
Masteria,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",udah pembelian ke2 nih seampuh itu buat anak dan kadang jg maminya yg minum kalo udah mau flu.. thank you seller
Pauline,,enak rasanya.. semoga ngefek abis mkn ni hormon lbh stabil
N***l,"[PAKET HEMAT REGAS] by Rahsa Nusantara - Herbal Alami Flu Batuk Pilek""",ngefek. sembuhnya semingguan lebih sih tp minumnya jg ga sebanyak yg dianjurkan karna anak ga kuat pahit. tp alhamdulillah mencegah ke dokter dan konsumsi antibiotik. den...
Meifta,,Selalu jadi andalan buat anakku
B***g,,bagus  pengiriman cepat
Vina,,Dapet bonus meskipun gak bisa dikonsumsi krna lagi hamil. Makasih!!
Arip,,ok
Arip,"Mini Size Sapujagad Anak by Rahsa Nusantara""",oke cocok
Arip,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",mantaaap
Gabriel,,Lgi coba   lmyn sih
Nina,,alhamdulillah packingan luar biasa aman  botol aman gak ada pecah or rembes sedikitpun
A***a,,bismillah rambut sehat
J***t,"Sukhaloka by Rahsa Nusantara | Plant-Based Collagen Booster 60-Capsule""",Sudah diterima   packing nya rapi sekali bagus. Sama dapat bonus madu  Terimakasih . Semoga suplemen ini cocok buat saya .
Achmad,"[Bebas Pilih Bundling] Sapujagad Dewasa by Rahsa Nusantara - Herbal""",good product..
yossy,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",Beli keberapa kalinya karena anak2 cocok banget â€¦ rutin minum cepet reda sakitnya
R***i,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",masyaAllah terbaik...
H***s,,mantep
F***a,,beneran manjur  kuku rasanya lbh cpt numbuh dan muka jd lbh plump. tentunya harus diikuti dgn makan makanan bergizi yaaaaa.
Syafira,,belum dicoba untuk masak tp pengiriman aman sekali  ga pake bubble wrap yg plastik tapi pake yg bahannya kardus jadi amaan
t***a,,top markotop
untung,,Cocok aja sih
untung,,Puas ....
Muhamad,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",selalu repeat order disini..kualitas dan pelayanan mantul ðŸ‘
Muhamad,,selalu repeat order disini..kualitas dan pelayanan mantul ðŸ‘
Elisabeth,,rasanya seperti wedang uwuh
Elisabeth,,enak  bikin badan hangat. tp kl seduh lebih baik pakai tea bag supaya ampasnya enggak berantakan dan minumnya lebih mudah
U***a,,Masih dicoba  rekomendasi temen2 katanya bagus buat menambah nafsu makan dan daya tahan tubuh
D***a,,Akhirnya sampai juga.. berkali-kali beli buat diri sendiri &amp
K***s,"Sukhaloka by Rahsa Nusantara | Plant-Based Collagen Booster 60-Capsule""",Beli berulang dan khasiat bagus
K***s,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",Beli berulang dan khasiat bagus
H***i,"Sari Kunyit Asam by Rahsa Nusantara Jamu Sirup Herbal Tradisional""",Pesan yg ke sekian kali. Kualitas tetap Ok
Sony,,packingnya aman dan cepat...rasanya terasa herbal banget...pertahani formulanya.
I***a,,Selalu terharu klo order di Rahsa  ada aja kejutan manisnya ðŸ¤— makasih tim Rahsa  sehat sehat semuanya ya
I***a,,Selalu terharu klo order di Rahsa  ada aja kejutan manisnya ðŸ¤— makasih tim Rahsa  sehat sehat semuanya ya ðŸ«¶ðŸ¼
I***a,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",Selalu terharu klo order di Rahsa  ada aja kejutan manisnya ðŸ¤— makasih tim Rahsa  sehat sehat semuanya ya ðŸ«¶ðŸ¼
Yoanita,,langganan ini mulai selama pandemi untuk bantu jaga daya tahan Alhamdulillah cocok bahkan ngefek juga ke BAB lancar  kali ini dikasih gratis Kunyit asem &amp
Yoanita,,udah langganan konsumsi ini untuk anak anak   cukup 1x sehari udah terbukti mmbuat daya tahan anak meningkat.. terimakasihEahsa nusantara untuk hadiah nya Semoga langgeng...
Supriyatno,,pembelian ke-n untuk produk ini  wajib tersedia di rumah
Supriyatno,,always top markotop
Supriyatno,,Agak ketagihan sih minum ini  rasanya seger
Yunia,"Mini Size Sapujagad Anak by Rahsa Nusantara""",baru pertama coba  semoga cocok .
Carolyn,,good product that gives fast relief of acid reflux  eco-friendly packaging  fast delivery with sample products. the best recipe for customer loyalty. keep up the good wor...
Carolyn,,good product  eco-friendly packaging  fast delivery  and gift of sample products
C***n,,ðŸ‘ðŸ‘ðŸ‘ðŸ‘ðŸ‘mantap pisan
M***f,"[Bebas Pilih Bundling] Sapujagad anak REGAS by Rahsa Nusantara""",ku pikir akan susah kasih ke anak2.. tp ternyata mereka suka. Semoga batuk alerginya reda krn imunnya membaik
M***d,,KHASIAT PRODUK SANGAT BAIK  TAPI PENGIRIMAN MENGGUNAKAN JNE SANGAT BURUK.
Anggun,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",Regas nya enak  sari lemon nya juga fresh gak pahit
A***n,,Regas rasa nya nyaman di lidah anak2 &amp
K***l,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",beli lagi masi ada anak batuk mau tidur dan pagi..
Anggie,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",Selalu jadi obat pertama kalau anak batuk/pilek
Mega,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",sendok takarnya lucu  pengemasannya amaaaan bgttt. rasanya kupikir jamu ternyata enaak  maniis  Alhamdulillah anak2 sukaa ðŸ’“
Mega,"Mini Size Sapujagad Anak by Rahsa Nusantara""",kupikir rasanya jamu  tp ternyata manis  anak2 Alhamdulillah suka ðŸ’“
Andy,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",Rasanya enak. khasiatnya baru mau coba
N***y,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",Sudah repurchase beberapa kali  anak saya cocok
Minati,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",setiap tenggorokan anak2 udh mulai ga enak  selalu lgsg pesan ini  dr di minum pertama udh kerasa bedanya  ga bikim tenggorokan kering  lgsg dahak2nya keluar. jadi udh ga...
Rakhmad,,Produk ramah lingkungan â™»ï¸
akhmad,,Mantap
A***n,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",udah botol ke empat.. sejauh ini Alhamdulillah cocok. rasanya juga enak. anak saya ga masalah minum ini. packing nya eco friendly.
g***d,,Seller fast respond  good packaging &amp
Chattifa,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",ini ngebantu banget biar anak ga minum obat2 an ketika batpil. suka banget. selalu stock  salah satu dr indonesian proud menurut ku ya ðŸ˜Š. packaging baik banget  aman â€¦ e...
D***a,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",Botol ketiga  alhamdulillah cocok utk anakku.
H***e,,paket sudah di terima dgn aman... mengkaget liat exp'a  pembelian dibulan February exp'a bulan Mei. mungkin memang seperti itu sistem'a atau gmn juga ga tau y...
Nevadea,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",Selalu cocok ðŸ‘ðŸ»
Kanya,,terbantu banget dengan adanya bumbu dasar ini  masak jadi cepet dan ga pake ribet
Kanya,,yg ini kesukaan aku sama opa  bisa dikasi santan ataupun diminum begitu aja  rasanya enak dan bikin badan jadi lbh hangat
Kanya,,yg ini kesukaan suami apalagi di cuaca dingin begini  enak banget diminum sore2 bikin badan jadi anget
Rizkya,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",udah botol ke sekian kali  Alhamdulillah cocok buat batuk anak..
Muhamad,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",selalu puas
Andar,,Enak
Mukhamad,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",semoga cocok
A***i,,Ampuh banget utk meredakan batuk
Yuli,,order yg ke2... terima kasih dikasih bonus juga. puas dengan produknya khususnya jus bawang putih. rasanya enak dan unik.
Rinaldi,"PAKET HEALTHY KIDS 200K By Rahsa Nusantara""",sudah pembelian ketiga..
Muhamad,,selalu langganan dan puas sama kualitasnya.. dapet bonus pula.. Terima kasih â¤â¤â¤
D***a,,Reorder kesekian kali  rasanya enak
Eni,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",pembelian yg kedua  ampuh mengobati batuk pilek anak2 sy  rasanya segar dan hangat  anak2 sy suka
p***o,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",mantap
A***h,,pembelian 2 botol alhamdulillah dapet bonus Sapujagad. pengemasannya oke  pengiriman ke Jaksel relatif cepat. makasih banyak Rahsa Nusantara
B***o,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",Alhamdulillah dapet bonus
Baskoro,,Alhamdulillah dapet bonus
e***h,"Mini Size Sapujagad Anak by Rahsa Nusantara""",selalu langganan..
T***k,,mantap
N***a,,sy langganan beli ini sudah 4 kali  kecewa dengan kemasan skrg  ga ada tutup putih lagi. skrg hanya langsung alumunium  tetesan rahsa keluar saat di kocok. tolong diadaka...
Y***a,,pembelian ke 4 kali nya. ngebantu saya banget yg suka linglung dan pelupa. terimakasih bonus mini sapujagadnya
a***a,"PAKET HEALTHY KIDS 200K By Rahsa Nusantara""",Kualitas baik  packing rapi aman untuk luar pulau meski tanpa plastik  bahan packing eco friendly.ðŸ‘ðŸ»
Lussia,"Sapujagad Anak Regas (200 mL) by Rahsa Nusantara | Herbal Alami Flu Ba""",sdh diterima dgn baik. aman sampai tujuan
Lussia,,diterima dengan baik.  selamat sampai tujuan
Maria,,honest review: semua klaim produk ini bener dan udh terbukti di aku  rambut  kuku  kulit  smua menjadi jauuuuh lebih sehat setelah mengkonsumsi Sukholoka.. ðŸ˜ðŸ˜ðŸ˜
K***s,"Sapujagad Anak Regas by Rahsa Nusantara| Herbal Alami Flu Batuk Pilek""",barang sangat menyehatkan
K***s,"Sukhaloka by Rahsa Nusantara | Plant-Based Collagen Booster 60-Capsule""",barang sangat menyehatkan
Sofiansyah,,Barang aman  rasa enak  lebih segar dan lebih cocok di tubuh Sy dibandingkan dg merek HER***OL
